"","MeanValue","Genotype","Age","Condition"
"1",0,"ere","24h","0"
"2",0,"ere","24h","0"
"3",0,"ere","24h","0"
"4",0,"ere","24h","0"
"5",0.000243178710161822,"ere","24h","0"
"6",0.00060100830425395,"ere","24h","0"
"7",0,"ere","24h","0"
"8",0.00163536733887074,"ere","24h","20"
"9",0.0116144618313094,"ere","24h","20"
"10",0.00443029984191144,"ere","24h","20"
"11",0.00195309296969725,"ere","24h","20"
"12",-0.0006173,"ere","24h","20"
"13",0.00529443122093452,"ere","24h","20"
"14",0.000554998512036978,"ere","24h","20"
"15",11.1948041841322,"ere","24h","200"
"16",3.91122412656815,"ere","24h","200"
"17",6.494293524561,"ere","24h","200"
"18",4.84329771714646,"ere","24h","200"
"19",5.15839745603864,"ere","24h","200"
"20",8.87589127836954,"ere","24h","200"
"21",5.65153482048662,"ere","24h","200"
"22",5.207352822338,"ere","24h","2000"
"23",3.10455743497095,"ere","24h","2000"
"24",3.92439271862996,"ere","24h","2000"
"25",3.88887081476084,"ere","24h","2000"
"26",4.73675263774532,"ere","24h","2000"
"27",3.29512278376528,"ere","24h","2000"
"28",10.897112571223,"ere","24h","2000"
"29",-0.00398455681441627,"mut","24h","0"
"30",0.00218928669719783,"mut","24h","0"
"31",-0.000701968219294899,"mut","24h","0"
"32",1.1790270220974e-05,"mut","24h","0"
"33",-0.0101553847401677,"mut","24h","0"
"34",0.0199475933227577,"mut","24h","20"
"35",0.00213455647717375,"mut","24h","20"
"36",0.00584665644129952,"mut","24h","20"
"37",0.0589878629452366,"mut","24h","20"
"38",0.0501751589952356,"mut","24h","20"
"39",0.00799428456877421,"mut","24h","200"
"40",0.00184490111986367,"mut","24h","200"
"41",-0.0024007166103297,"mut","24h","200"
"42",0.0127514040838822,"mut","24h","200"
"43",-0.00757070881458525,"mut","24h","200"
"44",-0.163424938436305,"mut","24h","2000"
"45",-0.00445212667801001,"mut","24h","2000"
"46",0.119322658671043,"mut","24h","2000"
"47",-0.00946995901917283,"mut","24h","2000"
"48",0.00229424177546019,"mut","24h","2000"
