"","symbol","conc_0nM","conc_20nM","conc_200nM","conc_2000nM"
"1","18w",0.521589126879669,0.68603284081863,0.870337339591004,1
"2","5PtaseI",1,0.903931854534044,0.778632238535561,0.58761064350613
"3","a",1,0.741105776741962,0.462153600967678,0.427350528810556
"4","aay",1,0.720715230985146,0.497465013470296,0.463447739737314
"5","ab",1,0.381618383266067,0.190810021130484,0.154083226396046
"6","ABCA",1,0.75279533015244,0.45816191341699,0.331708365348812
"7","Abl",0.658952273452961,0.724149298745092,0.89837978882965,1
"8","ac",0.407960178636951,0.573628275001485,0.87425603369209,1
"9","Acbp1",0.212293153844382,0.384827114274583,0.800247242491692,1
"10","Act5C",0.717780529934271,0.831150922899541,1,0.968222368595348
"11","Act87E",1,0.768448136527758,0.35792250614775,0.288871325577817
"12","AdamTS-A",0.0771841959687906,0.193492125512836,0.755384119809447,1
"13","AdamTS-B",1,0.909340331828293,0.844526196634624,0.805342885630212
"14","Adf1",1,0.957264412498795,0.880724761179879,0.808836962799717
"15","Adk3",1,0.93652476961087,0.799521261414483,0.78399623824997
"16","Ady43A",1,0.790082742441763,0.555278609089733,0.416294370202223
"17","Ae2",1,0.728177209578404,0.451067488241759,0.375873594599225
"18","AGBE",1,0.843281299789523,0.558977556169543,0.505498875620137
"19","ago",0.811342007081658,0.849000873212692,1,0.996596828970448
"20","AGO1",0.817020543107293,0.839235040586362,0.936017781814069,1
"21","Akr1B",1,0.828882426897875,0.658389432685999,0.70618104263909
"22","al",0.698017272375887,0.805032581683499,0.888381635727669,1
"23","Ald1",1,0.986026760288965,0.828364730291814,0.804225425328439
"24","Aldh",1,0.393175900833972,0.155580668044874,0.14780273592623
"25","Aldh-III",1,0.930447160073733,0.709972194836941,0.632018024382565
"26","Alh",0.271931914677388,0.533822817513039,0.8424727120659,1
"27","Alk",0.314704053090959,0.484382929878628,0.65941023962483,1
"28","alpha-Man-IIb",0.739038586741785,0.744751241993411,0.901761007900337,1
"29","alpha-Spec",1,0.886692740879742,0.758835102944457,0.789650314699154
"30","alt",0.220242683624372,0.345987946490736,0.776983658777054,1
"31","Ama",0.195975617920052,0.454282267135633,0.906355996040327,1
"32","amd",1,0.84501067438998,0.324546203251555,0.315561063100596
"33","ana3",1,0.870875742124194,0.752097509871372,0.695040050482681
"34","Ance",0.650686117278434,0.824278918768365,1,0.932337968527487
"35","Ance-2",0.231712128884721,0.409967290096237,0.79852511253726,1
"36","Ankle2",1,0.965206728107842,0.834460244058302,0.827684956990291
"37","AnxB9",1,0.897727540422747,0.749106452847454,0.781089496068759
"38","aos",1,0.804314560249317,0.662872988230673,0.669856665542963
"39","AOX3",1,0.696092576405678,0.417669063439946,0.337040798063851
"40","ap",0.579944870402076,0.713661503307763,0.883519901738332,1
"41","AP-1sigma",0.795265072949727,0.899111461364561,0.829729080060312,1
"42","APC4",1,0.884911743234745,0.793535250732742,0.691941049005605
"43","aqz",1,0.852323454878215,0.764072519562177,0.752111202042848
"44","ara",0.609908436792016,0.761633080999497,0.938525570380052,1
"45","aralar1",0.758413474621457,0.780529770083177,0.954709021359051,1
"46","Arfip",0.705020041110285,0.783823350808012,0.885535879607651,1
"47","ari-2",0.462532980939262,0.596042340281759,0.85790213822451,1
"48","arr",1,0.875487803060439,0.762414231761524,0.742620405737555
"49","Art4",1,0.949100436373113,0.81117364722881,0.740006922753045
"50","Art7",1,0.909475495150604,0.91340403570832,0.681289049604798
"51","AsnRS",0.800887877731628,0.868076237083541,0.99657507601121,1
"52","AsnS",0.242005134902188,0.314153058186204,0.985285202228824,1
"53","asp",1,0.82801422061396,0.604398879677414,0.511289871601087
"54","asRNA:CR45171",0.619703738024297,0.713225625555535,0.788233972090605,1
"55","asRNA:CR45185",1,0.298299506477741,0.13369385629253,0.072532563239947
"56","Atf3",1,0.636221135207465,0.264353074018607,0.282061482978759
"57","Atg18b",1,0.849020603449073,0.667612820471791,0.595991288574228
"58","Atg4b",1,0.840978579344445,0.745286645625143,0.717004041406056
"59","Atg6",1,0.853235964315907,0.773241070169747,0.750964516631576
"60","atilla",1,0.638771237566503,0.173837283268058,0.229369639671065
"61","Atox1",0.543202194776221,0.702135689607309,0.82740822462445,1
"62","ATPCL",1,0.908342351068079,0.802189665763317,0.725373645449295
"63","Atx2",1,0.836227580548737,0.867132432504811,0.84661421617659
"64","Atxn7",0.660703828919253,0.743820258439493,0.983312363019254,1
"65","aurA",1,0.8078710028138,0.674055778047849,0.550454367288743
"66","aurB",1,0.843626984032847,0.735881532786015,0.6455675164236
"67","B-H1",0.401651325465719,0.591897196460824,0.975251517620791,1
"68","B52",1,0.997568749778532,0.92940398877878,0.826469665249653
"69","bab2",0.33769671882017,0.494198524566169,0.896395492241567,1
"70","babos",0.692997401656381,0.765013902127985,0.753200702851777,1
