"","conc_0nM","conc_20nM","conc_200nM","conc_2000nM"
"18w",0.521589126879668,0.686032840818631,0.870337339591004,1
"Abl",0.65895227345296,0.724149298745091,0.898379788829651,1
"ac",0.40796017863695,0.573628275001486,0.874256033692088,1
"Acbp1",0.212293153844383,0.384827114274581,0.800247242491692,1
"Act5C",0.717780529934271,0.83115092289954,1,0.968222368595349
"AdamTS-A",0.0771841959687905,0.193492125512836,0.755384119809446,1
"ago",0.811342007081658,0.849000873212692,1,0.996596828970447
"AGO1",0.817020543107296,0.839235040586365,0.936017781814072,1
"al",0.698017272375889,0.805032581683502,0.888381635727667,1
"Alh",0.271931914677388,0.533822817513039,0.842472712065899,1
"Alk",0.314704053090959,0.484382929878628,0.65941023962483,1
"alpha-Man-IIb",0.739038586741785,0.744751241993412,0.901761007900337,1
"alt",0.220242683624372,0.345987946490735,0.776983658777053,1
"Ama",0.195975617920052,0.454282267135633,0.906355996040328,1
"Ance",0.650686117278434,0.824278918768365,1,0.932337968527488
"ap",0.579944870402078,0.713661503307767,0.883519901738336,1
"ara",0.609908436792014,0.761633080999499,0.938525570380052,1
"aralar1",0.758413474621457,0.780529770083177,0.954709021359051,1
"Arfip",0.705020041110284,0.783823350808012,0.88553587960765,1
"ari-2",0.462532980939263,0.596042340281761,0.85790213822451,1
"AsnRS",0.800887877731628,0.868076237083538,0.996575076011209,1
"AsnS",0.242005134902189,0.314153058186204,0.985285202228826,1
"asRNA:CR45171",0.619703738024298,0.713225625555537,0.788233972090605,1
"Atox1",0.543202194776221,0.702135689607309,0.82740822462445,1
"Atxn7",0.660703828919256,0.743820258439494,0.983312363019254,1
"bab2",0.337696718820169,0.494198524566168,0.896395492241567,1
"bbg",0.462895981871051,0.603608668028207,0.79887238932478,1
"bchs",0.555964648263874,0.711823797304558,0.952538824242744,1
"bcn92",0.638043826956769,0.651647465181529,0.930590424948373,1
"betaTub60D",0.435629518353797,0.566162012917166,0.755874932571541,1
"bib",0.26035825109769,0.530539629704623,0.881915555621826,1
"BicD",0.806219461671513,0.829173592203295,0.91075534644803,1
"bip1",0.0504679983432415,0.342407240163691,0.831170456072558,1
"Blimp-1",9.32410202105684e-05,0.00695223027319566,0.572134811804902,1
"blot",0.655054267590419,0.775045399790967,0.853924962979832,1
"bmm",0.0961902354037169,0.191949915970229,0.618624020763268,1
"bnb",0.591173269517223,0.754769014191108,1,0.981446969501552
"bou",0.652420072982694,0.806621908192126,1,0.895558640255364
"bowl",0.733049365113955,0.829340584653773,0.955804121084347,1
"br",0.101592375271595,0.445884964132224,0.900217603789589,1
"brat",0.22983101971528,0.519800409272487,0.826599406016805,1
"bs",0.443527520718216,0.583369655909963,0.844875312832066,1
"cact",0.786925200702162,0.866663925224448,0.900299179919547,1
"Cad86C",0.637843765838761,0.681742708325616,0.834810875987043,1
"CadN",0.614154740690951,0.712772218196751,0.849755046893246,1
"Cals",0.779407475024354,0.820887489386013,0.892123020405771,1
"CanA-14F",0.797258074561722,0.810276044856239,0.954007870830118,1
"caup",0.676473759860661,0.79380891763417,0.968288930611255,1
"CCKLR-17D3",0.339244745117561,0.452701879814778,0.763848269950751,1
"CD98hc",0.538197988239817,0.657356718861376,0.935692816475183,1
"Cdep",0.781607853027441,0.840938948919621,0.924855304730172,1
"Cdk4",0.525339810219913,0.700812682008923,0.939834746637779,1
"CG10005",0.298583517766982,0.508474854949124,0.754230464832079,1
"CG10026",0.0116424930404245,0.0615923674336552,0.368775121474673,1
"CG10098",0.555106725211433,0.652678226485502,0.83143598804295,1
"CG10254",0.786136052983662,0.849605619711065,1,0.991995254242545
"CG10283",0.162272562244787,0.18272205935723,0.616470412539264,1
"CG10359",0.237124503640786,0.551204505671902,0.958587133649551,1
"CG10413",0.752836365209689,0.804672352573691,0.966606523135935,1
"CG10916",0.584712507282809,0.699001942508111,0.745178160872447,1
"CG10960",0.0129632696139449,0.10151136693531,0.633551437235817,1
"CG11034",0.0312386143975347,0.110123579729728,0.691367902022081,1
"CG11050",0.385808978889705,0.502523462551219,0.783679980222663,1
"CG11069",0.599332806262207,0.754561218715056,0.875906689774415,1
"CG11170",0.585599827247869,0.600548094940332,0.948227991783747,1
"CG11248",0.669448234785129,0.753425328152282,0.910208056821744,1
"CG11249",0.153782090322926,0.335078659293925,0.652032721497762,1
"CG11275",0.23735958792465,0.695929046522359,0.939818856798227,1
"CG11370",0.545852584088411,0.60367553179375,1,0.811317461035261
"CG11409",0.277171565615994,0.45425397208727,0.742912162465241,1
"CG11593",0.778468724357091,0.840599043001124,0.919658474040139,1
"CG11686",0.293963937314161,0.486032862311451,0.773057697059566,1
"CG11835",0.0663419606959098,0.173956183001623,0.67838927948695,1
"CG11873",0.64512823116789,0.724740117128378,0.85213081174017,1
"CG11899",0.371066861347534,0.603300281411227,0.822521894209231,1
"CG11905",0.052066183076638,0.171978657089457,0.757983815941415,1
"CG12009",0.611292630388213,0.662662281305349,0.907724367191562,1
"CG1273",0.0173226405222508,0.112468630558501,0.77454533446498,1
"CG12880",0.620710721164129,0.71369129203503,0.800389179547034,1
"CG1299",0.673558833508383,0.816025879647731,0.995840851207625,1
"CG13024",0.602704281297262,0.679250127480165,0.807940436633634,1
"CG13300",0.579468745616524,0.701033189899801,0.800946130503401,1
"CG13367",0.72012975005574,0.779003223900221,0.893691538713958,1
"CG13531",0.736773306834075,0.806406612224446,1,0.98129611245644
"CG13784",0.667050534280179,0.72263700524858,0.883905738610274,1
"CG13894",0.377680128153356,0.551613849623297,0.872772180630607,1
"CG14132",0.385341055613142,0.682410666847391,0.824358223542347,1
"CG14223",0.751489106557657,0.873659055554268,0.893440219280425,1
"CG14301",0.327409597003293,0.437616281316696,0.820622315343743,1
"CG14439",0.345847804235558,0.571582096695401,0.854692721375472,1
